Sunflower School,84.4319505,27.6980277
sano sansar montessori academy,84.433805,27.6970268
St Paul Child Care Centre,84.4507456,27.7016551
 ,84.4475426,27.7015367
humodevi,84.4609274,27.6956455
valmiki shiksha sadan,84.4219229,27.6748008
Peace Heaven Montessori School,84.4238713,27.6653089
little star english boarding school,84.4221751,27.6659876
orchid school,84.4329245,27.669036
sos children village,84.4306882,27.654894
polar star school,84.4310609,27.6508962
Kids Temple Montesswori,84.432477,27.6592447
swornim montesswori,84.4358798,27.6903451
Millenium College,84.4318495,27.6755076
eden garden higher secondary school,84.4323897,27.6754065
blooms kindergarten,84.4329657,27.6755132
Aroma college,84.4339923,27.6755675
bal mandir school,84.4342754,27.6755084
iomt nursing college,84.4381424,27.677199
aroma english school,84.4368366,27.687743
gyandarshan english school,84.4367709,27.6882501
shree navajyoti,84.4227222,27.6784448
adarsha public school,84.4233302,27.6773686
holidays creation,84.4227,27.6769413
rastriya madhyamik bidhyalaya,84.4223637,27.6690834
valmiki shiksa sadan college,84.423382,27.6744667
Mothers Pride Montesswori,84.430391,27.6704856
Sharadpur Higher Secondary School,84.4346399,27.6572703
Boston International College,84.4352394,27.6664831
amber everest eng boarding school,84.4365572,27.6739434
shree medical and technical college,84.4373995,27.6745398
boston nursing college,84.4309503,27.6768378
presidency college,84.4285162,27.6847997
college of medical sciences Nepal,84.437777,27.6770227
Man Sikshya school,84.447092,27.7011994
naya kiran madhyamik bidhyale,84.451723,27.6860953
maula kalika health and science college,84.439726,27.6822308
Time Education and Research,84.4348221,27.6711105
Aroma higher secondary school,84.4351281,27.6760022
Balmindir Primary School,84.4338462,27.6758014
jagriti school,84.4448105,27.6805855
Swarnim Montessori School,84.4357143,27.6902487
institude of Medical Technology,84.4377574,27.6772299
Amber Everest Boarding School,84.4365064,27.673676
siddhibinayak madhyamik bidhyalaye,84.4418074,27.6982648
U+AC0-Tech,84.4443493,27.6910654
Balkumari Uchha Madhyamik Biddhalaye,84.4264525,27.6973276
Satyam Xavier English School,84.4210726,27.6881701
Central English Secondary Boarding School,84.4203205,27.6876146
Oxford College of engineering and management,84.4202938,27.6875463
Asia Pacific College,84.4217635,27.689027
 ,85.2607495,26.9421024
 ,85.2861773,26.9262075
Orchid School,84.4328463,27.6692391
Sanskriti International School,85.286222,27.7186737
birendra multiple campus library,84.4308029,27.6887386
Jana Chetana Pustakalaya,85.2783454,27.6768471
Universal Learning Acodamy,84.8034703,27.5397876
believers bording school,84.8054316,27.5393746
Sahid Smriti Balkalyan Primary School,84.8713717,27.4854115
coaching center,84.8080865,27.5397572
coaching center,84.8060811,27.5408506
Famous coaching center,84.8073222,27.5399092
marigold tinitus boarding school,84.8073674,27.5413748
Badipidit Pra. Vi.,84.7523907,27.545582
Hangalang Pra Vi,84.7406461,27.5898394
Red Angel Boarding School,84.7341153,27.5626649
Shree Durga Ni Ma Vi,84.3153555,27.6956365
Saraswati HS School,84.0890634,27.577344
Shri Narayani School,84.0923167,27.5617568
Namuna mahila bidhyalaya,84.0973351,27.6119568
Navodaya School,84.5366654,27.6181374
Saint Paul School,84.0918139,27.5776933
Srijanshil siksha niketan,84.595381,27.5776555
Kathar Mabi,84.6057602,27.5847968
Jana Kalyan Boarding School,83.8776322,28.2457171
Shree Jana Shakti Pra. V,84.7020024,28.0314703
Nepal Vipassana Meditation centre,85.3710957,27.7906031
Shree Vakti Namuna Higher Secondary School,84.4403816,28.1456525
 ,84.1821544,28.1997793
 ,84.4150801,27.7931723
jal devi primary school,84.3328905,28.1057459
 ,84.3896248,28.359215
Shree Nirmal Higher Secondary School,84.2756699,27.970548
Bal Mandir School,84.2703296,27.9735384
Satyawati Higher Secondary School,84.2702953,27.9728027
ESA Memorial School,85.5276755,27.6322042
Janapriya Shiksha Sadan,84.5350914,27.6826889
Siddhartha Pustakalaya,87.2814891,26.8059818
+ACI-Nepali, English+ACI-,84.7396508,27.8013069
 ,84.3521352,27.6852385
valmiki h.s. school,84.4231436,27.6749441
Bal Mandir,85.0001226,27.0324295
Library,85.316532,27.7078557
Do Re Mi,85.316244,27.7092746
