name,xcoord,ycoord,,
 ,0,banks.fid+AC0-49a111ac+AF8-16932994701+AF8-4622,85.3085926,27.7055274
Citizens Bank,85.3086419,27.7035443,,
Nepal Investment Bank,85.3083157,27.7035715,,
NCC,85.3315039,27.7190492,,
Nepal Bank Ltd.,85.3222861,27.7246609,,
Paul Money Changer,83.9574897,28.2084098,,
NMB Bank,85.318322,27.7103381,,
NMB,85.3276408,27.7097449,,
Nabil Bank,85.3276049,27.7097533,,
Kathmandu Finance Pvt. Ltd,85.3272685,27.7080851,,
Rastriya Banijya Bank,85.3302528,27.7173072,,
BANK OF AISA,85.2839681,27.6936737,,
Himalayan Bank Ltd,85.3091653,27.7197516,,
Bishwo Jagaran Saving +ACY- Credits,85.3072439,27.7181802,,
White Rose Saving +ACY- Credits,85.3072371,27.7182016,,
Swaniga money exchange,85.3125189,27.7194514,,
Himal Remit,85.3066332,27.7178586,,
IME,85.3066771,27.717923,,
Money Gram,85.3066557,27.7179069,,
Prabhu Money Transfer,85.3066942,27.7178918,,
Western Union Money Transfer,85.3066696,27.7178539,,
Manakamana Development Bank,85.4378554,27.6776026,,
Machhapuchre Bank Limited,85.4373718,27.6774392,,
+//0A4P/9AKT//QCo//0A4P/9AKX//QCH//0A4P/9AKT//QCq//0A4P/9AKT//QC+//0A4P/9AKT//QCy- +//0A4P/9AKT//QCs//0A4P/9AKX//QCI//0A4P/9AKT//QCC//0A4P/9AKT//QCV- +//0A4P/9AKT//QCy//0A4P/9AKT//QC///0A4P/9AKT//QCu//0A4P/9AKT//QC///0A4P/9AKT//QCf//0A4P/9AKX//QCH//0A4P/9AKT//QCh-,85.4373157,27.6774165,,
 ,85.437337,27.6774471,,
 ,85.4378185,27.6775666,,
Business Universal Development Bank,84.4223698,27.6946771,,
Country Development Bank Ltd.,84.4225168,27.6953168,,
Everest Bank Ltd,84.4222635,27.6956275,,
Globle IME Bank,84.4223959,27.6954555,,
Grand Bank,84.4230861,27.693738,,
Himalayan Bank Ltd.,84.4217432,27.6955053,,
Kumari Bank Ltd,84.4216496,27.6956196,,
Laxmi Bank,84.4231229,27.6937637,,
Machhapuchchhre Bank,84.4224748,27.6945639,,
Mankamana Development Bank,84.422429,27.6954143,,
Mega Bank Ltd,84.4217432,27.6962752,,
NCC Bank,84.4229874,27.6938937,,
NIC Bank,84.4221394,27.6949338,,
Narayani Development Bank Ltd,84.4218711,27.6953058,,
Nepal Investment Bank Ltd,84.421566,27.6957205,,
Nepal SBI Bank,84.4222748,27.6947959,,
Rising Development Bank Ltd.,84.4225669,27.6952764,,
Royal Marchent Finance Ltd,84.4219103,27.6952195,,
Sanima Bank,84.4220381,27.6950761,,
Siddhartha Bank,84.4232963,27.6935542,,
Sunrise Bank,84.4231482,27.6936741,,
Tourism Development Bank,84.4219344,27.695187,,
Har Din Bachat Finance,85.337886,27.6915424,,
 ,85.3532954,27.7192112,,
KamalVinayak Money Transfer,85.437036,27.6772521,,
Citizens Bank,85.3386006,27.7418058,,
 ,85.338563,27.7417749,,
 ,85.3052521,27.6965694,,
Rastriya Banijya Bank,banks.fid+AC0-49a111ac+AF8-16932994701+AF8-4658,85.30662,27.6965195,
Nepal Credit +ACY- Commerce Bank Ltd.,85.3051957,27.6965789,,
Nepal Investment Bank,85.3112117,27.6945982,,
 ,85.3037044,27.6979041,,
KIST Bank,85.3005448,27.698455,,
 ,85.2967254,27.6977333,,
Nepal Investment Bank,85.2992627,27.6975314,,
Nepal Rastra BNK,85.3121776,27.7011009,,
Nepal Bank Limited,85.3125733,27.7012113,,
Agricultural Developmen Bank,85.3138808,27.6937388,,
Everest Bank Limited,85.3081862,27.6956266,,
 ,85.3465272,27.7222692,,
Siddhartha Bank,85.3493882,27.7225757,,
citizen bank,85.3525037,27.7248231,,
Sunrise Bank,85.3468287,27.7221795,,
Jyot Bikashi Bank,85.3489335,27.7224773,,
Mega bank,85.3528798,27.7250097,,
Agriculture Development Bank,85.3569674,27.7275263,,
NB bank,85.3533894,27.7340647,,
Chemiki microfinance development bank,85.3380707,27.6957203,,
Nabil Bank,85.2987395,27.6913755,,
+ACI-Everest Bank, Golfutar+ACI-,85.3455463,27.7513034,,
Kist bank,85.3463329,27.7291731,,
Subal saving and credit cooperatives,85.3463488,27.7292582,,
 ,85.3625397,27.73358,,
Citizen Bank,85.4266975,27.6723953,,
 ,85.4273147,27.6722282,,
 ,85.4277661,27.6745565,,
Sunrise Bank,85.4311615,27.6726403,,
 ,85.4302155,27.6715918,,
Bank of Asia,85.4263353,27.665892,,
GoodWill Finance,85.4297362,27.6711782,,
Kist Bank,85.4264265,27.6658635,,
Nepal SBI,85.4261851,27.6659039,,
Everest Bank,83.2844575,27.4703728,,
NCC Bank,83.2840413,27.4702838,,
Siddharta Bank,83.2844055,27.4703696,,
Dream Saving And Credit Co+AC0-operative Ltd,85.3409691,27.6955597,,
Himalayan Bank Pvt. Ltd,85.3633994,27.6749154,,
Prime Bank Pvt. Ltd.,85.3749125,27.6741109,,
NIC Bank,85.3646816,27.6747967,,
KIST Bank,85.365199,27.6739749,,
 ,83.2844069,27.4703038,,
 ,83.2844617,27.4703644,,
Prabhu Bank Limited Gyaneshwor Branch,85.3318835,27.7084596,,
H+ACY-B Bank,86.4787525,26.7126127,,
NCC Bank,86.478937,26.7125831,,
Royal Merchant Banking and Finance Ltd.,85.3608362,27.6744741,,
Sunrise Bank,85.3371627,27.6452089,,
 ,85.3052087,27.6681638,,
Agricultural Development Bank,80.5801466,28.7047334,,
Mahalakshmi Bikash Bank,80.5779673,28.7043267,,
Siddhartha Bank Liimted,85.3402462,27.7012898,,
KIST Bank Limited,83.9888115,28.2429725,,
Bank of Kathmandu,84.4253776,27.6918911,,
Rastriya Banijya Bank,84.4301517,27.6824773,,
Agricultural Development bank,84.4402148,27.670692,,
Prime Bank,84.4303565,27.6814996,,
 ,84.4368298,27.681495,,
Asia Development Bank,84.4245979,27.6919777,,
Rastriya Banijya,85.4277665,27.6651675,,
Bhaktapur Agricultural Cooperative Society (BACSI),85.4273064,27.6663448,,
