Name_of_Br,xcoord,ycoord
Twin Khola,84.5585,27.8428888890001
Chinsenji,84.559111111,27.847252778
Khahare,84.5586111110001,27.8501944440001
Chhotka,85.7765000000001,26.6361944440001
Ratu,85.7832222220001,26.638527778
Panch (Ratu Branch),85.7839722220001,26.6385000000001
Zero mile,85.810694444,26.655055556
Pulah,85.8206388890001,26.6607222220001
Bighi,85.8416666670001,26.6719166670001
Kutmeshwori,85.84475,26.6791666670001
Katan,85.8772777780001,26.6939166670001
Dhudhmati,85.9088611110001,26.7184722220001
Sapahi,85.9438055560001,26.8070277780001
Aurahi,85.962833333,26.870777778
Basai,85.9582777780001,26.9113333330001
Bhogate,85.914305556,27.042305556
Kare,85.9255555560001,27.043666667
Gangate,85.9178055560001,27.04375
Ratu,85.9383333330001,27.07025
Khahare-1,85.956361111,27.126222222
Khahare-2,85.9212777780001,27.148583333
Khahare-3,85.911194444,27.1526666670001
Sindure,85.9054722220001,27.1596111110001
Kamala,85.902555556,27.165583333
Phiting,85.9196388890001,27.1828055560001
Buka,85.9278611110001,27.1937222220001
Gadauli,85.9213888890001,27.1961666670001
Adheri,85.9180000000001,27.2196388890001
Garda,85.916527778,27.226722222
Gwang,85.935166667,27.247638889
Thulopairo,85.967527778,27.2801944440001
Khaniayakharka,85.9776944440001,27.2854722220001
Adheri,85.9984166670001,27.323
Jahari,85.9936111110001,27.325722222
Bhadaure,85.9928333330001,27.3348611110001
Bhalu,85.9816666670001,27.3357500000001
Bhote,85.9179444440001,27.4031944440001
Gangate,85.8981666670001,27.405666667
Dhamile,85.8812777780001,27.413972222
Dhaune,85.7325277780001,27.4910833330001
Narke,85.7142777780001,27.498833333
Roshi,85.689388889,27.5231388890001
Dapcha-1,85.655111111,27.5383055560001
Dapcha-2,85.6460000000001,27.5545000000001
Bagmati Bridge,85.3493888890001,27.706083333
Dhobi Khola Bridge,85.345638889,27.7218611110001
Basundhara Khola Bridge,85.333583333,27.741861111
Bishnumati Bridge,85.3075833330001,27.7351944440001
Suichatar Bridge,85.2816666670001,27.699611111
Khasibazar Bridge,85.283694444,27.6900000000001
Balkhu Khola,85.297583333,27.6849722220001
